971.811.222.66,elaM,moc.dopirt@rrthginkdaorh,thginkdaoR,nilmaH,0001
08.401.312.991,elameF,moc.321oah@qrnevednatsa,nevednatS,aerdnA,999
351.922.23.781,elaM,ku.oc.semiteht@prenevelb,eneveL,groB,899
411.052.75.28,elameF,moc.acinhcetsra@orikswotugc,ikswotuG,eillaC,799
691.39.721.691,elaM,moc.sihtaij@nrnilnahp,nilnaH,noxaP,699
84.722.111.32,elaM,pj.en.nco@mrsretawa,sretaW,srednA,599
291.341.942.911,elaM,ur.ikinssalkondo@lrsenojs,senoJ,ybleS,499
531.431.96.222,elameF,moc.eralfduolc@krwoddadc,woddaD,essiralC,399
712.721.98.881,elameF,moc.cbnc@jrtterralc,tterraL,eikcihC,299
841.901.071.161,elameF,moc.vtm@irbmocknarfr,bmocknarF,nylsoR,199
7.12.52.08,elameF,moc.etirbtneve@hrrebrabe,rebraB,enitsenrE,099
8.74.521.481,elameF,ur.doran@grdranyml,dranyM,eniaruaL,989
9.02.47.751,elameF,moc.gnin@frreissemn,reisseM,asveN,889
38.822.612.371,elaM,ude.cuiu@erillellagt,illellaG,dnesnwoT,789
89.71.071.232,elaM,moc.ffider@drreggabh,reggaB,trebmuH,689
7.67.76.28,elameF,ur.liam@crtfarcyahd,tfarcyaH,eiffaD,589
59.552.281.951,elaM,moc.srewsna@brnehgiekcmt,nehgieKcM,ymmiT,489
912.301.41.532,elaM,moc.rugmi@arlevolb,levoL,ekoorB,389
3.251.412.14,elaM,moc.ecapserauqs@9reyellopa,eyelloP,asA,289
581.861.94.081,elameF,moc.allizom@8rttite,ttiT,nnirE,189
841.242.7.5,elaM,moc.obolg@7rnomladr,nomlaD,regiduR,089
812.6.791.92,elaM,moc.elbondnasenrab@6rnohtypc,nohtyP,ydoC,979
522.241.54.66,elaM,ua.vog.wsn@5rllennipr,llenniP,retsehcoR,879
701.77.19.401,reeuqredneG,vog.duh@4rvehcypilifh,vehcypiliF,yelraH,779
75.881.511.121,elameF,moc.etirbtneve@3relkcibs,elkciB,llirehS,679
302.43.942.45,elaM,pj.oc.elgoog@2rrekazrutsd,rekazrutS,dnaruD,579
251.012.771.502,elameF,moc.evitcellocograc@1rkcotsnis,kcotsnI,aliehS,479
722.231.65.37,diulfredneG,moc.ysgij@0rkciobj,kcioB,alleoJ,379
531.96.442.871,elameF,moc.eriflegna@zqnamdlevr,namdleV,ybboR,279
59.701.622.532,reeuqredneG,moc.renimaxe@yqyelsnraeys,yelsnraeY,milaS,179
071.96.39.741,elaM,moc.retnuoctats@xqnellahm,nellaH,suehttaM,079
76.581.03.571,elameF,moc.golten@wqydapa,ydaP,neraA,969
24.951.281.7,diulfredneG,moc.etirbtneve@vqnoldircj,noldirC,ynniJ,869
21.46.25.111,elameF,ude.cuiu@uqraesd,raeS,eeriseD,769
221.542.44.36,elaM,ur.tenretnievil@tqyesudt,yesuD,nanyT,669
432.081.422.442,rednegiB,ua.moc.elgoog@sqnosillebr,nosilleB,xeR,569
232.702.121.142,elameF,pj.en.oog@rqnokcidk,nokciD,yesaK,469
242.042.231.942,elaM,moc.pmacdnab@qqnairogirgo,nairogirG,nirrO,369
132.641.241.651,elaM,gro.aidemikiw@pqttemmirgg,ttemmirG,igroiG,269
191.691.04.922,elaM,moc.aerx@oqtoofgnilj,toofgniL,haidedeJ,169
241.91.431.25,elaM,gro.almooj@nqpaxorba,paxorB,suhplodA,069
381.941.022.851,elameF,moc.yliadecneics@mqdnenwotd,dnenwoT,aysaD,959
3.622.711.731,elaM,moc.margatsni@lqyedollemg,yedolleM,kereG,859
811.161.17.222,elaM,ku.oc.semiteht@kqfloowy,flooW,amuY,759
761.232.632.271,elameF,moc.swenyliadyn@jqsedaolp,sedaoL,yggeP,659
331.07.632.02,elaM,moc.oofuw@iqeltseke,eltseK,nyvE,559
432.002.932.941,elaM,moc.tatsynihs@hqmircj,mirC,ohceJ,459
8.651.44.501,elameF,moc.ocsic@gqhguordoowz,hguordooW,aeZ,359
851.602.11.41,elaM,moc.elbahsam@fqnihctsumm,nihctsuM,nywreM,259
871.911.58.99,elaM,moc.nus@eqnednommacsk,nednommacS,belaK,159
552.632.77.1,elaM,moc.ukuoy@dqrusteewse,rusteewS,niwdE,059
432.41.52.691,elaM,moc.kcoryks@cqskconnera,skconneR,nywlA,949
201.96.99.57,elameF,moc.ukuoy@bqlligdaerhtd,lligdaerhT,etteroD,849
822.452.322.29,rednegiB,moc.qci@aqsgnihctuhj,sgnihctuH,eyduJ,749
72.512.512.55,elaM,moc.tsactnauq@9qyerrebk,yerreB,noelK,649
881.69.98.632,elaM,moc.regnirps@8qnesnahojk,nesnahoJ,nailliK,549
591.661.912.971,elaM,moc.srewsna@7qenocsecnarfa,enocsecnarF,esorbmA,449
801.88.302.812,elaM,moc.yliadecneics@6qsidreg,sidrE,ybaG,349
55.54.551.0,elaM,ue.aporue@5qdnallohlumw,dnallohluM,edraW,249
671.202.102.432,elameF,vog.tod@4qtolmard,tolmaR,eilloD,149
552.89.452.271,elameF,moc.361@3qkriku,kriK,acirlU,049
36.602.542.8,elaM,moc.yawetagelbib@2qhtiesrofp,htiesroF,lavecreP,939
931.551.902.991,elaM,gro.ssorcder@1qhguocsk,hguocS,elaK,839
39.571.742.891,elaM,moc.moc@0qregroga,regroG,leirA,739
152.76.85.112,elaM,moc.edonbew@zpednobc,ednoB,hgierC,639
341.46.722.86,elameF,moc.erutan@ypwordoowd,wordooW,isaD,539
0.102.971.052,elameF,moc.gamyn@xpeigrahl,eigraH,nnyL,439
76.881.781.55,elaM,moc.tenauhnix@wpttewejp,tteweJ,sahcniP,339
471.01.74.742,elaM,moc.segapbuh@vpnoritd,noriT,silaD,239
631.422.381.68,elameF,moc.ybabdc@upllatsnutb,llatsnuT,ikceB,139
291.481.012.56,elameF,moc.cipynit@tpniffitm,niffiT,nyliraM,039
312.142.43.51,elaM,moc.gumgums@spllesnikd,llesniK,natsnuD,929
991.842.28.861,elaM,ur.elgoog@rpeidacamy,eidAcaM,rovY,829
302.822.4.332,elameF,moc.koobecaf@qpondragladh,ondraglaD,atteirraH,729
911.512.522.431,elameF,su.xt.etats@pptreborcmd,treboRcM,halileD,629
59.12.73.812,elameF,moc.rotagtsoh@ophguanavacr,hguanavaC,anibuR,529
831.72.321.941,elaM,moc.ksa@npnesmaharbaw,nesmaharbA,eilyW,429
11.061.112.331,elameF,moc.bdmi@mpinorrepm,inorreP,ynaleM,329
022.941.912.9,elaM,ku.shn@lpsrairbs,srairB,nosmaS,229
022.331.081.842,elameF,dg.si@kpnilpakc,nilpaK,eilsehC,129
65.432.781.642,elameF,moc.yfitops@jpiissunw,iissuN,woliW,029
112.87.56.342,elaM,ed.42thcer-e@ipdleifmurbc,dleifmurB,atsoC,919
251.85.97.791,elameF,moc.lruynit@hpronyara,ronyaR,tirvA,819
47.151.931.36,elaM,cc.ynit@gpedaemidobd,edaemidoB,ssalguoD,719
961.1.012.442,elaM,moc.ecapserauqs@fpredlefnesorj,redlefnesoR,eimmiJ,619
101.32.832.4,elameF,moc.yste@epegomedi,egomeD,ettevI,519
491.861.33.122,elameF,moc.ggid@dpynnobr,ynnoB,annaesoR,419
